
01 Jan,34.6,23.9,24.80,21.90,0.00,11.6,5.8,1130.00,1015.30,1010.30,0

02 Jan,34.6,23.9,25.80,21.90,0.00,11.6,5.8,1130.00,1015.30,1010.20,0

03 Jan,32.7,26.6,26.70,23.70,0.00,13.0,5.8,1071.00,1013.80,1010.20,0

04 Jan,33.1,25.9,25.40,21.40,0.00,8.5,4.5,782.00,1015.10,1011.30,0

05 Jan,32.9,25.6,26.20,23.40,13.20,6.3,3.6,956.00,1014.60,1011.10,0

06 Jan,32.5,26.3,25.90,23.60,0.20,8.9,4.5,998.00,1014.70,1010.30,0

07 Jan,32.7,26.4,25.20,23.00,0.00,11.2,4.5,1058.00,1014.40,1010.10,0

08 Jan,31.4,26.2,26.80,23.80,4.60,7.6,4.0,1123.00,1014.90,1010.50,0

09 Jan,32.6,26.3,25.80,23.30,0.00,9.8,4.9,1062.00,1014.50,1010.60,0

10 Jan,33.2,26.3,25.10,21.60,0.00,11.2,4.9,983.00,1014.20,1009.90,0

11 Jan,32.6,25.3,24.90,22.00,0.00,8.9,4.5,1060.00,1014.30,1009.90,0

12 Jan,34.4,24.9,25.30,20.40,44.00,8.0,3.6,963.00,1014.60,1009.40,0

13 Jan,33.0,25.4,25.40,22.40,0.00,9.8,4.9,1083.00,1014.20,1010.00,0

14 Jan,32.1,25.7,26.20,23.20,0.40,8.9,4.9,1102.00,1013.00,1008.40,0

16 Jan,32.6,25.1,24.90,22.80,0.00,7.6,4.5,1141.00,1013.30,1008.60,0

16 Jan,32.6,24.8,25.70,22.80,20.80,12.5,5.4,1171.00,1013.30,1008.60,0

18 Jan,28.7,23.4,25.00,22.60,22.40,8.5,4.0,295.00,1013.90,1009.10,0

20 Jan,32.7,25.3,25.20,23.00,0.00,9.4,4.9,1021.00,1013.80,1009.90,0

21 Jan,32.7,25.1,25.90,21.70,3.60,8.5,4.5,1100.00,1014.80,1010.40,0

22 Jan,31.8,25.1,24.50,22.60,0.00,10.3,4.5,993.00,1015.70,1011.90,0

23 Jan,32.4,25.7,24.60,21.50,0.00,11.6,5.4,1067.00,1015.00,1011.30,0

24 Jan,31.3,25.8,24.20,22.40,0.00,9.8,4.5,990.00,1015.60,1011.80,0

25 Jan,30.9,25.2,24.40,21.50,0.00,8.9,4.9,977.00,1016.00,1011.90,0

25 Jan,31.6,25.2,24.40,21.50,0.00,10.7,4.9,1167.00,1016.00,1011.90,0

27 Jan,32.2,25.8,24.80,22.70,0.20,10.3,6.3,972.00,1015.30,1011.30,0

28 Jan,29.3,24.9,25.00,23.00,0.40,12.1,5.4,733.00,1015.60,1011.90,0

29 Jan,32.5,25.6,25.80,23.00,0.00,11.2,5.4,1069.00,1015.00,1010.20,0

30 Jan,32.2,25.9,24.70,22.50,0.00,8.9,4.5,1020.00,1015.90,1011.00,0

31 Jan,32.6,25.3,24.50,22.30,0.00,8.0,4.5,1056.00,1016.20,1011.60,0

01 Feb,33.1,25.6,24.70,22.90,0.00,10.3,4.9,962.00,1015.80,1010.60,0

02 Feb,32.2,25.7,25.30,23.20,0.00,8.5,4.0,1123.00,1014.80,1010.00,0

03 Feb,33.0,25.8,25.40,23.50,0.00,9.4,4.0,1174.00,1015.60,1011.20,0

04 Feb,34.8,25.9,26.10,23.10,0.00,8.0,4.0,1032.00,1016.30,1011.30,0

06 Feb,33.4,24.6,23.90,21.50,0.00,8.5,4.5,1025.00,1015.30,1010.40,0

07 Feb,34.5,25.2,25.70,22.00,5.00,9.4,5.8,1053.00,1015.50,1011.10,0

08 Feb,34.7,25.6,24.90,22.10,0.00,7.6,4.0,1118.00,1015.40,1010.90,0

09 Feb,34.1,26.3,25.50,23.50,0.00,8.0,4.0,768.00,1015.50,1010.20,0

10 Feb,33.5,26.4,25.10,23.50,0.00,9.8,4.5,1130.00,1016.60,1011.80,0

11 Feb,32.9,24.5,23.70,20.40,0.00,10.3,4.9,1130.00,1017.50,1012.50,0

12 Feb,34.1,24.4,24.40,20.90,0.00,7.6,4.5,1100.00,1017.60,1012.90,0

13 Feb,32.4,26.4,25.30,23.50,0.00,8.9,4.5,1187.00,1017.60,1012.60,0

14 Feb,32.8,27.0,24.90,22.20,0.00,10.7,5.4,1139.00,1015.80,1011.20,0

15 Feb,32.6,25.9,24.20,22.00,0.00,8.9,4.0,1213.00,1016.90,1012.50,0

16 Feb,34.3,25.6,24.10,20.50,0.00,9.4,4.0,1123.00,1016.90,1011.10,0

17 Feb,33.8,24.1,25.60,22.40,36.20,13.9,4.9,1106.00,1016.50,1010.80,0

18 Feb,30.9,22.9,24.70,21.80,1.60,5.4,3.1,735.00,1016.00,1011.00,0

18 Feb,32.6,22.9,26.00,21.80,1.60,7.6,3.6,1104.00,1016.00,1011.00,0

20 Feb,32.3,25.1,26.10,23.10,3.60,7.6,4.0,1074.00,1017.70,1011.90,0

20 Feb,33.5,25.1,26.10,22.00,3.60,9.8,4.5,1146.00,1017.70,1011.60,0

22 Feb,34.1,25.6,25.30,23.20,0.00,8.9,4.5,1100.00,1015.20,1010.90,0

23 Feb,33.1,25.7,24.50,21.90,0.00,8.0,4.5,1088.00,1013.90,1009.60,0

23 Feb,34.1,25.6,24.50,21.90,0.00,8.5,4.5,1088.00,1013.90,1008.80,0

