01 May,7.4,7.0,3.40,3.10,0.00,0.0,0.0,0.00,1012.00,1011.30,0
02 May,2.9,2.0,1.30,0.50,4.80,0.9,0.0,0.00,1001.60,1001.40,0
03 May,3.6,3.3,2.10,1.80,0.90,2.7,0.9,0.00,995.40,994.90,0
04 May,5.9,5.7,4.40,4.20,15.80,3.6,1.8,0.00,995.60,995.20,0
05 May,8.7,8.5,4.30,3.70,2.70,5.4,2.2,0.00,1002.70,1002.40,0
06 May,8.2,7.7,5.50,5.20,0.00,5.8,2.2,0.00,1005.70,1005.40,0
07 May,10.5,10.3,8.30,8.00,0.00,3.1,1.3,0.00,1009.60,1009.40,0
08 May,10.1,9.8,8.00,7.80,0.00,2.2,0.4,0.00,1011.70,1011.40,0
09 May,6.5,6.0,3.60,3.20,3.00,4.5,2.2,0.00,1017.10,1016.80,0
10 May,6.9,5.9,2.70,1.80,0.00,7.6,2.2,0.00,1023.70,1023.30,0
11 May,5.9,5.3,2.00,1.50,0.00,0.0,0.0,0.00,1026.00,1025.80,0
12 May,7.8,7.4,2.90,2.50,0.00,4.0,1.3,0.00,1026.10,1025.80,0
13 May,5.0,4.5,0.70,0.10,0.00,6.7,2.2,0.00,1025.10,1024.80,0
14 May,6.4,6.0,1.50,0.90,0.00,6.7,3.1,0.00,1023.80,1023.50,0
15 May,9.9,9.6,5.10,4.60,0.00,6.3,2.7,0.00,1013.90,1013.70,0
16 May,10.6,10.3,7.70,7.40,0.50,1.3,0.4,0.00,1018.30,1018.10,0
18 May,15.5,14.4,7.30,6.80,0.00,3.6,1.3,0.00,1025.10,1024.70,0
19 May,14.2,13.2,9.40,8.70,0.00,0.9,0.0,0.00,1030.50,1030.20,0
20 May,12.7,11.7,8.00,7.20,0.00,0.4,0.0,0.00,1027.00,1026.60,0
21 May,15.7,11.7,8.00,7.20,0.00,0.4,0.0,0.00,1027.00,1026.60,0
22 May,16.7,11.7,8.00,7.20,0.00,0.4,0.0,0.00,1027.00,1026.60,0
23 May,14.3,11.4,9.40,7.30,0.00,3.6,0.9,16.00,993.50,990.90,0
24 May,9.2,8.5,6.10,5.50,2.60,4.9,2.2,0.00,994.80,994.70,0
25 May,8.3,7.9,6.10,5.70,4.40,3.6,1.3,0.00,1004.30,1003.90,0
26 May,8.5,8.0,6.00,4.40,2.00,8.9,4.0,0.00,1006.80,1006.30,0
27 May,8.0,5.9,4.70,3.30,4.00,16.1,8.0,42.00,1007.20,1004.30,0,0
27 May,7.6,7.5,3.50,3.20,4.40,6.7,3.6,0.00,1017.50,1017.20,0,0
28 May,13.8,4.9,8.50,1.70,0.00,7.2,3.6,1056.00,1024.30,1017.40,0,0
29 May,17.0,7.2,8.80,5.40,0.00,4.9,2.2,1055.00,1025.80,1024.10,0,0
30 May,16.3,3.7,9.10,2.20,0.00,4.9,2.7,909.00,1025.60,1020.70,0,0
